MajorityClassSize,MinorityClassSize,NumberOfClasses,NumberOfBinaryFeatures,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfNumericFeatures,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cohesiveness.mean,cohesiveness.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,one_itemset.mean,one_itemset.sd,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t2,t3,t4,t_mean.mean,t_mean.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,wg_dist.mean,wg_dist.sd,did
245,0,13,8,278,452,384,126,0.13290802299465038,0.2136060911255429,1.3401140933095497,1.2664381808320075,0.6172566371681416,0.35436893203883496,inf,,,,,,,,,,,,1.6200716845878136,,,,,,,,,,,,,,,279,66,73,0.017028836955036215,452,13.0,206,251,2.8219178082191783,0.24473684210526317,0.28523581531517406,,,,,,,0.2200921452024355,0.28138040853665547,0.5995575221238938,,,,,0.37016508795669817,0.2633151236719975,,,,,5
81,2,4,0,17,148,0,0,0.05518972811766977,0.06304376543704528,1.1277241395099897,0.6080360315886795,0.12162162162162163,5.0,13.08445945945946,1.5775906452859003,0.12982500089013638,0.12429365971662673,0.028215657679943395,0.05448732419110831,0.27638213352499075,0.7087612956815821,0.16399222633540825,0.5532575145492399,0.1474449182963638,0.4946650062027003,8.222222222222221,0.5151515151515151,0.5657523818560181,9.783406992982975,21.28854628104117,0.08985454545454545,0.3592426417921711,1.3636363636363635,1.3420642174040571,0.44963144963144963,0.5962792160386329,0.3939393939393939,0.6092717958449424,0.09090909090909091,0.2919371040605711,18,9,15,0.01893939393939394,148,0.0,3,18,0.2,0.33962264150943405,0.2613058240107111,1.2727272727272727,1.0975178606954215,0.43101950984436815,0.30567253805803346,2.0756673416324185,2.7419231944224927,0.3707482993197278,0.14098057988853432,0.22297297297297297,0.12162162162162163,0.5454545454545454,0.3801346801346801,0.5662631840761897,0.45524100994644223,0.18732008785462967,0.2763821335249908,0.6150474761799387,2.8439916905330995,0.18693762862518756,10
4320,2,5,0,7,12960,0,0,-5.0505963756539104e-08,1.5726261267222307e-08,1.7077222622214983,0.3980760863203709,0.0006172839506172839,,1501.8817129629629,92.00732828369465,0.034210526315787325,0.11077643832945935,0.006746134570162218,0.022826831717149394,0.2007654911644458,0.10967154504764899,0.0,0.0,0.0,0.0,1620.0,0.575,0.4450014784126831,-0.9253202036953686,0.7273261734074723,0.037065,0.16575971917205942,1.0,0.0,0.2899999999999999,0.0736277979541623,0.025,0.11180339887498947,0.0,0.0,8,1,8,0.0,12960,1.0,0,10,0.0,0.2962962962962962,0.07916947813271392,1.0,0.0,0.44705309267505033,0.03093326422986044,0.9644965707322826,0.3900034300164931,0.316613936260514,0.09042048901362021,0.0015432098765432098,0.0012345679012345679,0.8,0.15000000000000002,0.12271299659027049,0.4208860759493671,0.043842620130380656,0.2007654911644458,0.027408121123641133,2.505268560620615,0.04684325027630258,26
4913,28,5,0,9,5473,0,10,0.08877810838567161,0.09171506810388738,3.991805723674792,0.2582621097543107,0.0018271514708569341,0.0,2685.1567695961994,128.2830018082668,0.28992457976774844,0.26863351632746996,342370.5068435424,1276507.492776965,2871748.8745084186,8430332.520513395,81.47383813899714,121.60449443085459,29.909398125977606,42.53567736069714,547.3,194.62849999999997,305.1357306421193,651.9928962559,1478.2079363740295,89.17423871999999,134.3333789856489,23320.6,45399.41965904165,253.32758631463548,407.8823023808697,78.6377,115.55992315393968,2.5121,3.125169024762234,10,0,0,0.2888888888888889,5473,0.0,10,10,,0.06134969325153374,0.01583512496293108,23318.0879,45397.00730730965,840.2336192978366,1551.256243432712,14.703388934468663,19.901346626975467,0.0018631511620153674,0.002709256658765574,0.0018271514708569341,0.0003654302941713868,0.2,101.36292843226789,152.28863588302792,0.11532663316582914,0.021632911317730836,2871748.874508413,7346136.517014892,0.38856104068032205,0.160345988708413,30
112,20,6,0,33,366,8,1,0.11798872345151364,0.1828471486903765,1.1626417430076472,0.4738094441138071,0.09289617486338798,33.0,inf,,,,,,,,,,,,10.764705882352942,,,,,,,,,,,,,,,34,1,33,0.007574163686092993,366,1.0,1,84,0.030303030303030304,0.26153846153846155,0.286697894714621,,,,,,,0.25081251678753697,0.06169335196346012,0.2677595628415301,,,0.418692022263451,3.6972770032721693,0.3865771812080537,0.25801619426096084,,,,,35
143,2,8,0,6,336,0,7,0.04676261379505299,0.06651145763494531,1.8753794109758803,1.2060738248120255,0.020833333333333332,0.0,160.49255952380952,13.73433777166912,0.1840004666972138,0.19036021628066038,0.005298356051375775,0.008445977610715971,0.0248265004061326,0.03165133041102464,0.27418359042625007,0.2569806927273146,0.2613619698658967,0.2473616256005067,48.0,0.19749999999999998,0.16143239038887663,50.86592215732834,123.12242680368827,0.130257,0.10376939209130984,0.9657142857142859,0.05533448076836686,0.49956632653061234,0.00189168511112678,0.4757142857142857,0.02620886800120833,0.16714285714285718,0.22779481159691986,7,2,0,0.047619047619047616,336,0.0,7,4,,0.20588235294117646,0.20098281827897116,0.7985714285714286,0.20391408087955176,0.14372869668428684,0.06973752587259142,3.5733729485778545,6.731407139349201,0.15044654082495054,0.2377771314887205,0.020833333333333332,0.01488095238095238,0.7142857142857143,0.4885219236209335,0.01194965929343662,0.3347107438016529,0.19528869178109703,0.0248265004061326,0.018158609349829047,0.5619606565483576,0.13301449870660947,39
111,97,2,0,59,208,0,60,0.04121120159923562,0.03889042848296098,2.321727773988792,0.00023852709022345053,0.28846153846153844,0.0,34.96604567307692,6.858366888709751,0.22939566425480037,0.17333862955246354,0.005587204758068456,0.009220263354074137,0.02913314182418634,0.08741516181803669,0.2240835728364815,0.21501248046104454,0.17313292903625482,0.17203301401381427,3.466666666666667,0.20288250000000002,0.15483609043250782,2.1438860417640337,4.1554780251266585,0.14163030699999998,0.1062061302009558,0.6558233333333333,0.3769098855419012,0.2813212900641026,0.2276812421875608,0.26661250000000003,0.23687379955869514,0.01894333333333333,0.021299752259772497,60,0,0,0.07514124293785311,208,0.0,60,39,,0.2,0.0033364322998052334,0.63688,0.3625446963911566,0.14223782700500703,0.09514418528193266,0.9533140778336299,0.9395120998777189,0.0006894288579850998,0.0011220386865203916,0.28846153846153844,0.08173076923076923,0.2833333333333333,0.27199238095238093,0.23565218990776363,0.32,0.032966059751311616,0.029133141824186328,0.025893735175685714,2.1256093129609366,0.30365260106365166,40
76,0,6,0,8,214,0,9,0.08646069983674642,0.06958254586990041,2.0168573913192267,0.620017868913917,0.04205607476635514,0.0,96.57593457943925,10.95413985092551,0.22769842938237195,0.1829920785760934,0.11286394031281843,0.17878186869411522,0.7004470770184157,1.017259706764335,10.862900927816515,23.657160832679832,10.838965482294338,23.661443372868103,23.77777777777778,0.5747372222222225,0.5046039377268519,9.532684737023255,16.631806755353363,0.29590472099999976,0.275539848952288,14.263770000000001,23.725677360532828,11.265851609553478,23.47275568836268,11.289186666666668,23.50211122758124,9.75235,22.815692515295257,9,0,0,0.05555555555555555,214,0.0,9,8,,0.225,0.12329561686435073,4.511419999999999,3.305210378720241,0.6895407776407763,0.503093596771605,1.6294993485603526,2.281160831772149,0.008961343715966666,0.009965682017666592,0.04205607476635514,0.02336448598130841,0.5555555555555556,11.259923982905983,23.50082963043042,0.35127478753541075,0.11480972049559879,0.7004470770184157,0.8003105770758269,0.5703512066863673,0.23121837179153912,41
225,81,2,0,2,306,0,0,0.020991189402221343,0.009400109781775728,2.7364716323564324,0.7259162144391273,0.00980392156862745,0.5,82.79084967320262,1.3803235295321965,0.07839887361341678,0.031178217322822128,0.09163902635455196,0.5158114250717882,12.094244692412492,33.16157211367074,3.666127398924114,13.717392663038748,3.5838160158149632,13.409411668412814,102.0,1.4821428571428572,4.521810696836166,8.02614009086743,5.975520301501934,0.9531,3.1642119551198014,10.5,24.902116067020984,4.105975723622782,13.956150014382555,3.7857142857142856,13.879584184796645,2.142857142857143,8.017837257372731,3,0,1,0.0,306,0.0,2,13,2.0,0.13043478260869565,0.07983562322858333,8.357142857142858,18.70255903040314,1.5194723008427873,3.246255602422538,2.9153015364015813,1.0737453610153203,0.04220313191379143,0.03354783583557456,0.0457516339869281,0.006535947712418301,0.14285714285714285,3.835791925465838,13.921661370395455,0.24691358024691357,0.0794063809660152,12.09424469241249,33.10420471260255,1.257171008548887,0.05478304621988808,43
52,49,3,0,4,151,0,0,0.06873889367898223,0.05220215596810858,1.5437107414741704,0.8342572377747546,0.033112582781456956,0.6666666666666666,56.68377483443709,10.158953439649306,0.23137192840727985,0.22463195316368773,1.572930095658573,2.8598775634860165,43.7696688741722,64.88767277681866,6.883304565917197,9.808502500709047,5.402871404864373,8.274488491648393,30.2,7.0,7.974960814950754,0.05551585943227414,1.000150754048227,4.4478,5.626071430758766,20.0,25.534290669607408,8.577262693156731,10.848162759865616,7.666666666666667,10.614455552060438,0.8333333333333334,1.1690451944500122,5,2,2,0.06666666666666667,151,0.0,3,4,1.5,0.2777777777777778,0.2149000736760829,19.166666666666668,24.36732785240652,4.649071062476384,5.156255284240713,-0.09712129681147315,1.3691814385563694,0.21484040133779264,0.25737199682554673,0.039735099337748346,0.019867549668874173,0.5,8.131868131868131,10.434312156762434,0.4159999999999999,0.17337147592607877,43.7696688741722,64.41865867649676,0.7054104880361107,0.18008737801184355,48
