openml_id,MajorityClassSize,MinorityClassSize,NumberOfClasses,NumberOfBinaryFeatures,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfNumericFeatures,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cohesiveness.mean,cohesiveness.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,one_itemset.mean,one_itemset.sd,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t2,t3,t4,t_mean.mean,t_mean.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,wg_dist.mean,wg_dist.sd,target_max,target_min,targets_q_0.25,targets_q_0.5,targets_q_0.75,targets_skewness,targets_kurtosis,name,data_table
5,245.0,0.0,13.0,8,278,452,384,126,0.1329080229946503,0.2136060911255429,1.3401140933095497,1.2664381808320075,0.6172566371681416,0.3543689320388349,inf,,,,,,,,,,,,1.6200716845878136,,,,,,,,,,,,,,,279,66,73,0.0170288369550362,452,13.0,206,251,2.8219178082191783,0.2447368421052631,0.285235815315174,,,,,,,0.2200921452024355,0.2813804085366554,0.5995575221238938,,,,,0.3701650879566981,0.2633151236719975,,,,,,,,,,,,no_name,no_data_table
10,81.0,2.0,4.0,0,17,148,0,0,0.0551897281176697,0.0630437654370452,1.1277241395099895,0.6080360315886795,0.1216216216216216,5.0,13.08445945945946,1.5775906452859003,0.1298250008901363,0.1242936597166267,0.0282156576799433,0.0544873241911083,0.2763821335249907,0.7087612956815821,0.1639922263354082,0.5532575145492399,0.1474449182963638,0.4946650062027003,8.222222222222221,0.5151515151515151,0.5657523818560181,9.783406992982975,21.28854628104117,0.0898545454545454,0.3592426417921711,1.3636363636363635,1.3420642174040571,0.4496314496314496,0.5962792160386329,0.3939393939393939,0.6092717958449424,0.0909090909090909,0.2919371040605711,18,9,15,0.0189393939393939,148,0.0,3,18,0.2,0.339622641509434,0.2613058240107111,1.2727272727272727,1.0975178606954217,0.4310195098443681,0.3056725380580334,2.0756673416324185,2.7419231944224927,0.3707482993197278,0.1409805798885343,0.2229729729729729,0.1216216216216216,0.5454545454545454,0.3801346801346801,0.5662631840761897,0.4552410099464422,0.1873200878546296,0.2763821335249908,0.6150474761799387,2.8439916905330995,0.1869376286251875,,,,,,,,no_name,no_data_table
26,4320.0,2.0,5.0,0,7,12960,0,0,-5.0505963756539104e-08,1.5726261267222307e-08,1.7077222622214985,0.3980760863203709,0.0006172839506172,,1501.8817129629629,92.00732828369463,0.0342105263157873,0.1107764383294593,0.0067461345701622,0.0228268317171493,0.2007654911644458,0.1096715450476489,0.0,0.0,0.0,0.0,1620.0,0.575,0.4450014784126831,-0.9253202036953686,0.7273261734074723,0.037065,0.1657597191720594,1.0,0.0,0.2899999999999999,0.0736277979541623,0.025,0.1118033988749894,0.0,0.0,8,1,8,0.0,12960,1.0,0,10,0.0,0.2962962962962962,0.0791694781327139,1.0,0.0,0.4470530926750503,0.0309332642298604,0.9644965707322826,0.3900034300164931,0.316613936260514,0.0904204890136202,0.0015432098765432,0.0012345679012345,0.8,0.15,0.1227129965902704,0.4208860759493671,0.0438426201303806,0.2007654911644458,0.0274081211236411,2.505268560620615,0.0468432502763025,,,,,,,,no_name,no_data_table
30,4913.0,28.0,5.0,0,9,5473,0,10,0.0887781083856716,0.0917150681038873,3.991805723674792,0.2582621097543107,0.0018271514708569,0.0,2685.1567695961994,128.2830018082668,0.2899245797677484,0.2686335163274699,342370.5068435424,1276507.492776965,2871748.8745084186,8430332.520513395,81.47383813899714,121.6044944308546,29.909398125977606,42.53567736069714,547.3,194.6285,305.1357306421193,651.9928962559,1478.2079363740295,89.17423871999999,134.3333789856489,23320.6,45399.41965904165,253.32758631463548,407.8823023808697,78.6377,115.55992315393968,2.5121,3.125169024762234,10,0,0,0.2888888888888889,5473,0.0,10,10,,0.0613496932515337,0.015835124962931,23318.0879,45397.00730730965,840.2336192978366,1551.256243432712,14.703388934468665,19.901346626975467,0.0018631511620153,0.0027092566587655,0.0018271514708569,0.0003654302941713,0.2,101.36292843226788,152.28863588302792,0.1153266331658291,0.0216329113177308,2871748.874508413,7346136.517014892,0.388561040680322,0.160345988708413,,,,,,,,no_name,no_data_table
35,112.0,20.0,6.0,0,33,366,8,1,0.1179887234515136,0.1828471486903765,1.1626417430076472,0.4738094441138071,0.0928961748633879,33.0,inf,,,,,,,,,,,,10.764705882352942,,,,,,,,,,,,,,,34,1,33,0.0075741636860929,366,1.0,1,84,0.0303030303030303,0.2615384615384615,0.286697894714621,,,,,,,0.2508125167875369,0.0616933519634601,0.2677595628415301,,,0.418692022263451,3.697277003272169,0.3865771812080537,0.2580161942609608,,,,,,,,,,,,no_name,no_data_table
39,143.0,2.0,8.0,0,6,336,0,7,0.0467626137950529,0.0665114576349453,1.8753794109758803,1.2060738248120255,0.0208333333333333,0.0,160.49255952380952,13.73433777166912,0.1840004666972138,0.1903602162806603,0.0052983560513757,0.0084459776107159,0.0248265004061326,0.0316513304110246,0.27418359042625,0.2569806927273146,0.2613619698658967,0.2473616256005067,48.0,0.1974999999999999,0.1614323903888766,50.86592215732834,123.12242680368828,0.130257,0.1037693920913098,0.965714285714286,0.0553344807683668,0.4995663265306123,0.0018916851111267,0.4757142857142857,0.0262088680012083,0.1671428571428571,0.2277948115969198,7,2,0,0.0476190476190476,336,0.0,7,4,,0.2058823529411764,0.2009828182789711,0.7985714285714286,0.2039140808795517,0.1437286966842868,0.0697375258725914,3.5733729485778545,6.731407139349201,0.1504465408249505,0.2377771314887205,0.0208333333333333,0.0148809523809523,0.7142857142857143,0.4885219236209335,0.0119496592934366,0.3347107438016529,0.195288691781097,0.0248265004061326,0.018158609349829,0.5619606565483576,0.1330144987066094,,,,,,,,no_name,no_data_table
40,111.0,97.0,2.0,0,59,208,0,60,0.0412112015992356,0.0388904284829609,2.321727773988792,0.0002385270902234,0.2884615384615384,0.0,34.96604567307692,6.858366888709751,0.2293956642548003,0.1733386295524635,0.0055872047580684,0.0092202633540741,0.0291331418241863,0.0874151618180366,0.2240835728364815,0.2150124804610445,0.1731329290362548,0.1720330140138142,3.466666666666667,0.2028825,0.1548360904325078,2.1438860417640337,4.1554780251266585,0.1416303069999999,0.1062061302009558,0.6558233333333333,0.3769098855419012,0.2813212900641026,0.2276812421875608,0.2666125,0.2368737995586951,0.0189433333333333,0.0212997522597724,60,0,0,0.0751412429378531,208,0.0,60,39,,0.2,0.0033364322998052,0.63688,0.3625446963911566,0.142237827005007,0.0951441852819326,0.95331407783363,0.9395120998777188,0.000689428857985,0.0011220386865203,0.2884615384615384,0.0817307692307692,0.2833333333333333,0.2719923809523809,0.2356521899077636,0.32,0.0329660597513116,0.0291331418241863,0.0258937351756857,2.1256093129609366,0.3036526010636516,,,,,,,,no_name,no_data_table
41,76.0,0.0,6.0,0,8,214,0,9,0.0864606998367464,0.0695825458699004,2.0168573913192267,0.620017868913917,0.0420560747663551,0.0,96.57593457943923,10.95413985092551,0.2276984293823719,0.1829920785760934,0.1128639403128184,0.1787818686941152,0.7004470770184157,1.017259706764335,10.862900927816517,23.657160832679832,10.838965482294338,23.661443372868103,23.77777777777778,0.5747372222222225,0.5046039377268519,9.532684737023256,16.631806755353363,0.2959047209999997,0.275539848952288,14.26377,23.725677360532828,11.265851609553478,23.47275568836268,11.289186666666668,23.50211122758124,9.75235,22.815692515295257,9,0,0,0.0555555555555555,214,0.0,9,8,,0.225,0.1232956168643507,4.511419999999999,3.305210378720241,0.6895407776407763,0.503093596771605,1.6294993485603526,2.281160831772149,0.0089613437159666,0.0099656820176665,0.0420560747663551,0.0233644859813084,0.5555555555555556,11.259923982905985,23.50082963043042,0.3512747875354107,0.1148097204955987,0.7004470770184157,0.8003105770758269,0.5703512066863673,0.2312183717915391,,,,,,,,no_name,no_data_table
43,225.0,81.0,2.0,0,2,306,0,0,0.0209911894022213,0.0094001097817757,2.7364716323564324,0.7259162144391273,0.0098039215686274,0.5,82.79084967320262,1.3803235295321965,0.0783988736134167,0.0311782173228221,0.0916390263545519,0.5158114250717882,12.094244692412492,33.16157211367074,3.666127398924114,13.717392663038748,3.5838160158149632,13.409411668412814,102.0,1.4821428571428572,4.521810696836166,8.02614009086743,5.975520301501934,0.9531,3.1642119551198014,10.5,24.902116067020984,4.105975723622782,13.956150014382557,3.7857142857142856,13.879584184796643,2.142857142857143,8.017837257372731,3,0,1,0.0,306,0.0,2,13,2.0,0.1304347826086956,0.0798356232285833,8.357142857142858,18.70255903040314,1.5194723008427873,3.246255602422538,2.9153015364015813,1.0737453610153205,0.0422031319137914,0.0335478358355745,0.0457516339869281,0.0065359477124183,0.1428571428571428,3.835791925465838,13.921661370395457,0.2469135802469135,0.0794063809660152,12.09424469241249,33.10420471260255,1.257171008548887,0.054783046219888,,,,,,,,no_name,no_data_table
48,52.0,49.0,3.0,0,4,151,0,0,0.0687388936789822,0.0522021559681085,1.5437107414741704,0.8342572377747546,0.0331125827814569,0.6666666666666666,56.68377483443709,10.158953439649306,0.2313719284072798,0.2246319531636877,1.572930095658573,2.8598775634860165,43.7696688741722,64.88767277681866,6.883304565917197,9.808502500709048,5.402871404864373,8.274488491648393,30.2,7.0,7.974960814950754,0.0555158594322741,1.000150754048227,4.4478,5.626071430758766,20.0,25.534290669607408,8.577262693156731,10.848162759865616,7.666666666666667,10.614455552060438,0.8333333333333334,1.1690451944500122,5,2,2,0.0666666666666666,151,0.0,3,4,1.5,0.2777777777777778,0.2149000736760829,19.166666666666668,24.36732785240652,4.649071062476384,5.156255284240713,-0.0971212968114731,1.3691814385563694,0.2148404013377926,0.2573719968255467,0.0397350993377483,0.0198675496688741,0.5,8.131868131868131,10.434312156762434,0.4159999999999999,0.1733714759260787,43.7696688741722,64.41865867649676,0.7054104880361107,0.1800873780118435,,,,,,,,no_name,no_data_table
